Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,CIK,Founded
RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",884887,1997
SPGI,S&P Global,Financials,Financial Exchanges & Data,"New York City, New York",64040,1917
CRM,Salesforce,Information Technology,Application Software,"San Francisco, California",1108524,1999
SBAC,SBA Communications,Real Estate,Telecom Tower REITs,"Boca Raton, Florida",1034054,1989
SLB,Schlumberger,Energy,Oil & Gas Equipment & Services,"Houston, Texas",87347,1926
STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals","Dublin, Ireland",1137789,1979
SRE,Sempra,Utilities,Multi-Utilities,"San Diego, California",1032208,1998
NOW,ServiceNow,Information Technology,Systems Software,"Santa Clara, California",1373715,2003
SHW,Sherwin-Williams,Materials,Specialty Chemicals,"Cleveland, Ohio",89800,1866
SPG,Simon Property Group,Real Estate,Retail REITs,"Indianapolis, Indiana",1063761,2003
SWKS,Skyworks Solutions,Information Technology,Semiconductors,"Irvine, California",4127,2002
SJM,J.M. Smucker Company (The),Consumer Staples,Packaged Foods & Meats,"Orrville, Ohio",91419,1897
SW,Smurfit WestRock,Materials,Paper & Plastic Packaging Products & Materials,"Dublin, Ireland",2005951,1934
SNA,Snap-on,Industrials,Industrial Machinery & Supplies & Components,"Kenosha, Wisconsin",91440,1920
SOLV,Solventum,Health Care,Health Care Technology,"Saint Paul, Minnesota",1964738,2023
SO,Southern Company,Utilities,Electric Utilities,"Atlanta, Georgia",92122,1945
LUV,Southwest Airlines,Industrials,Passenger Airlines,"Dallas, Texas",92380,1967
SWK,Stanley Black & Decker,Industrials,Industrial Machinery & Supplies & Components,"New Britain, Connecticut",93556,1843
SBUX,Starbucks,Consumer Discretionary,Restaurants,"Seattle, Washington",829224,1971
STT,State Street Corporation,Financials,Asset Management & Custody Banks,"Boston, Massachusetts",93751,1792
STLD,Steel Dynamics,Materials,Steel,"Fort Wayne, Indiana",1022671,1993
STE,Steris,Health Care,Health Care Equipment,"Dublin, Ireland",1757898,1985
SYK,Stryker Corporation,Health Care,Health Care Equipment,"Kalamazoo, Michigan",310764,1941
SMCI,Supermicro,Information Technology,"Technology Hardware, Storage & Peripherals","San Jose, California",1375365,1993
SYF,Synchrony Financial,Financials,Consumer Finance,"Stamford, Connecticut",1601712,2003
SNPS,Synopsys,Information Technology,Application Software,"Sunnyvale, California",883241,1986
SYY,Sysco,Consumer Staples,Food Distributors,"Houston, Texas",96021,1969
TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,"Bellevue, Washington",1283699,1994
TROW,T. Rowe Price,Financials,Asset Management & Custody Banks,"Baltimore, Maryland",1113169,1937
TTWO,Take-Two Interactive,Communication Services,Interactive Home Entertainment,"New York City, New York",946581,1993
TPR,"Tapestry, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York City, New York",1116132,2017
TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation,"Houston, Texas",1389170,2005
TGT,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail,"Minneapolis, Minnesota",27419,1902
TEL,TE Connectivity,Information Technology,Electronic Manufacturing Services,"Galway, Ireland",1385157,2007
TDY,Teledyne Technologies,Information Technology,Electronic Equipment & Instruments,"Thousand Oaks, California",1094285,1960
TFX,Teleflex,Health Care,Health Care Equipment,"Wayne, Pennsylvania",96943,1943
TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,"North Reading, Massachusetts",97210,1960
TSLA,"Tesla, Inc.",Consumer Discretionary,Automobile Manufacturers,"Austin, Texas",1318605,2003
TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",97476,1930
TPL,Texas Pacific Land Corporation,Energy,Oil & Gas Exploration & Production,"Dallas, Texas",1811074,1888
TXT,Textron,Industrials,Aerospace & Defense,"Providence, Rhode Island",217346,1923
